Happiness_score,Dystopia,Freedom_to_make_life_choices,Generosity,Social_support,Personal_Rights,Personal_Freedom
1.847509484,0.725130226,0.513314759,0.325489057,0.758213792,1.672842336,ozgur
1.511825084,0.58221562,0.479221666,0.356124287,0.735381641,1.612826405,yari_ozgur
1.685472599,0.666289726,0.376492889,0.384610199,0.752173345,2.157074606,ozgur_degil
1.549475571,0.981329128,0.447758563,0.432622806,0.689122965,2.120159525,ozgur_degil
1.807960849,0.74098451,0.434414547,0.314909355,0.800558578,2.020032178,ozgur_degil
1.750590192,0.272314595,0.563589388,0.400754231,0.790910937,2.181421908,yari_ozgur
1.639190871,1.136871001,0.574299786,0.432022805,0.61470833,2.190200156,ozgur
1.574639407,0.412771683,0.525969332,0.316872145,0.777883577,2.156806976,ozgur
1.764388272,0.631271777,0.410742494,0.374987019,0.723712003,2.141310289,ozgur
1.856766631,0.656483196,0.494410273,0.361784792,0.805466373,2.219380674,ozgur
1.490654376,-0.869884359,0.559043814,0.531048117,0.752593328,1.990774534,yari_ozgur
1.985680162,0.74098451,0.578265462,0.482724674,0.795582025,2.269034191,ozgur
2.0141027,0.822858787,0.58076249,0.431421415,0.802748185,2.253999137,ozgur
1.617604475,0.614644952,0.522965177,0.404797551,0.754894164,1.397113949,ozgur_degil
1.208661794,-0.476424197,0.485199953,0.466860564,0.703485561,1.96453838,yari_ozgur
1.860040977,0.712949808,0.566209607,0.563213204,0.78579583,1.809496663,ozgur
1.251333376,0.608133806,0.480227066,0.367310955,0.505169902,1.92486099,ozgur_degil
1.569657042,0.636576829,0.430818628,0.201802889,0.658382416,2.136524236,yari_ozgur
1.704748092,0.63073972,0.437373684,0.196220216,0.768588317,1.787435269,yari_ozgur
1.406342056,0.422649933,0.510174883,0.451689505,0.724168302,1.866089189,ozgur_degil
1.410010888,-0.205794913,0.300633014,0.418457173,0.779829878,2.071487992,ozgur_degil
1.904194899,0.532978428,0.53809512,0.53188604,0.798907471,2.25410933,ozgur
1.944909649,0.796605889,0.537274802,0.486674594,0.784648995,2.244205813,ozgur
1.864700094,0.775648402,0.565836681,0.349480132,0.783114048,2.247342726,ozgur
1.786914418,0.597186789,0.593974145,0.497728603,0.808522112,0.834795917,yari_ozgur
1.278987508,0.297137231,0.404797551,0.279516558,0.676486143,1.641206923,ozgur_degil
1.354545663,0.468752847,0.457206513,0.360984556,0.713279586,1.63077605,yari_ozgur
